"user_id","movie_title","genre","rating","release_date","age","gender","occupation"
1,"101 Dalmatians (1996)","Childrens",2,1996-11-27,24,"M","technician"
1,"101 Dalmatians (1996)","Comedy",2,1996-11-27,24,"M","technician"
101,"101 Dalmatians (1996)","Comedy",3,1996-11-27,15,"M","student"
101,"101 Dalmatians (1996)","Childrens",3,1996-11-27,15,"M","student"
13,"101 Dalmatians (1996)","Childrens",2,1996-11-27,47,"M","educator"
13,"101 Dalmatians (1996)","Comedy",2,1996-11-27,47,"M","educator"
141,"101 Dalmatians (1996)","Comedy",3,1996-11-27,49,"M","programmer"
141,"101 Dalmatians (1996)","Childrens",3,1996-11-27,49,"M","programmer"
15,"101 Dalmatians (1996)","Comedy",3,1996-11-27,49,"F","educator"
15,"101 Dalmatians (1996)","Childrens",3,1996-11-27,49,"F","educator"
159,"101 Dalmatians (1996)","Childrens",4,1996-11-27,23,"F","student"
159,"101 Dalmatians (1996)","Comedy",4,1996-11-27,23,"F","student"
161,"101 Dalmatians (1996)","Childrens",1,1996-11-27,50,"M","lawyer"
161,"101 Dalmatians (1996)","Comedy",1,1996-11-27,50,"M","lawyer"
167,"101 Dalmatians (1996)","Comedy",3,1996-11-27,37,"M","other"
167,"101 Dalmatians (1996)","Childrens",3,1996-11-27,37,"M","other"
168,"101 Dalmatians (1996)","Comedy",5,1996-11-27,48,"M","other"
168,"101 Dalmatians (1996)","Childrens",5,1996-11-27,48,"M","other"
181,"101 Dalmatians (1996)","Childrens",3,1996-11-27,26,"M","executive"
181,"101 Dalmatians (1996)","Comedy",3,1996-11-27,26,"M","executive"
183,"101 Dalmatians (1996)","Childrens",1,1996-11-27,33,"M","scientist"
183,"101 Dalmatians (1996)","Comedy",1,1996-11-27,33,"M","scientist"
186,"101 Dalmatians (1996)","Childrens",4,1996-11-27,39,"F","executive"
186,"101 Dalmatians (1996)","Comedy",4,1996-11-27,39,"F","executive"
189,"101 Dalmatians (1996)","Comedy",4,1996-11-27,32,"M","artist"
189,"101 Dalmatians (1996)","Childrens",4,1996-11-27,32,"M","artist"
194,"101 Dalmatians (1996)","Comedy",3,1996-11-27,38,"M","administrator"
194,"101 Dalmatians (1996)","Childrens",3,1996-11-27,38,"M","administrator"
200,"101 Dalmatians (1996)","Comedy",4,1996-11-27,40,"M","programmer"
200,"101 Dalmatians (1996)","Childrens",4,1996-11-27,40,"M","programmer"
222,"101 Dalmatians (1996)","Childrens",1,1996-11-27,29,"M","programmer"
222,"101 Dalmatians (1996)","Comedy",1,1996-11-27,29,"M","programmer"
223,"101 Dalmatians (1996)","Comedy",3,1996-11-27,19,"F","student"
223,"101 Dalmatians (1996)","Childrens",3,1996-11-27,19,"F","student"
236,"101 Dalmatians (1996)","Comedy",3,1996-11-27,44,"F","writer"
236,"101 Dalmatians (1996)","Childrens",3,1996-11-27,44,"F","writer"
243,"101 Dalmatians (1996)","Comedy",3,1996-11-27,33,"M","educator"
243,"101 Dalmatians (1996)","Childrens",3,1996-11-27,33,"M","educator"
254,"101 Dalmatians (1996)","Childrens",3,1996-11-27,44,"M","educator"
254,"101 Dalmatians (1996)","Comedy",3,1996-11-27,44,"M","educator"
256,"101 Dalmatians (1996)","Comedy",4,1996-11-27,35,"F","none"
256,"101 Dalmatians (1996)","Childrens",4,1996-11-27,35,"F","none"
276,"101 Dalmatians (1996)","Comedy",3,1996-11-27,21,"M","student"
276,"101 Dalmatians (1996)","Childrens",3,1996-11-27,21,"M","student"
280,"101 Dalmatians (1996)","Comedy",4,1996-11-27,30,"F","librarian"
280,"101 Dalmatians (1996)","Childrens",4,1996-11-27,30,"F","librarian"
313,"101 Dalmatians (1996)","Childrens",4,1996-11-27,41,"M","marketing"
313,"101 Dalmatians (1996)","Comedy",4,1996-11-27,41,"M","marketing"
330,"101 Dalmatians (1996)","Childrens",4,1996-11-27,35,"F","educator"
330,"101 Dalmatians (1996)","Comedy",4,1996-11-27,35,"F","educator"
332,"101 Dalmatians (1996)","Childrens",3,1996-11-27,20,"M","student"
332,"101 Dalmatians (1996)","Comedy",3,1996-11-27,20,"M","student"
334,"101 Dalmatians (1996)","Comedy",3,1996-11-27,32,"M","librarian"
334,"101 Dalmatians (1996)","Childrens",3,1996-11-27,32,"M","librarian"
348,"101 Dalmatians (1996)","Comedy",3,1996-11-27,24,"F","student"
348,"101 Dalmatians (1996)","Childrens",3,1996-11-27,24,"F","student"
373,"101 Dalmatians (1996)","Childrens",4,1996-11-27,24,"F","other"
373,"101 Dalmatians (1996)","Comedy",4,1996-11-27,24,"F","other"
374,"101 Dalmatians (1996)","Childrens",3,1996-11-27,36,"M","executive"
374,"101 Dalmatians (1996)","Comedy",3,1996-11-27,36,"M","executive"
378,"101 Dalmatians (1996)","Comedy",3,1996-11-27,35,"M","student"
378,"101 Dalmatians (1996)","Childrens",3,1996-11-27,35,"M","student"
38,"101 Dalmatians (1996)","Comedy",5,1996-11-27,28,"F","other"
38,"101 Dalmatians (1996)","Childrens",5,1996-11-27,28,"F","other"
381,"101 Dalmatians (1996)","Comedy",3,1996-11-27,33,"M","artist"
381,"101 Dalmatians (1996)","Childrens",3,1996-11-27,33,"M","artist"
399,"101 Dalmatians (1996)","Childrens",3,1996-11-27,25,"M","other"
399,"101 Dalmatians (1996)","Comedy",3,1996-11-27,25,"M","other"
401,"101 Dalmatians (1996)","Childrens",1,1996-11-27,46,"F","healthcare"
401,"101 Dalmatians (1996)","Comedy",1,1996-11-27,46,"F","healthcare"
416,"101 Dalmatians (1996)","Comedy",1,1996-11-27,20,"F","student"
416,"101 Dalmatians (1996)","Childrens",1,1996-11-27,20,"F","student"
429,"101 Dalmatians (1996)","Comedy",2,1996-11-27,27,"M","student"
